ID,Company Name,Industry,Location,VR Potential Score (%),Status
11,AirAsia,airlines/aviation,"KLIA, Malaysia",63,New
12,SIA Engineering Company,airlines/aviation,"Singapore, Singapore",72,New
13,ST Engineering,information technology & services,"Singapore, Singapore",63,New
14,Quest Global,information technology & services,"Singapore, Singapore",99,New
15,Malaysia Aviation Group,airlines/aviation,"Sepang, Malaysia",87,New
16,Singapore Airlines,airlines/aviation,"Singapore, Singapore",74,New
17,Turkish Aerospace Malaysia,aviation & aerospace,"Cyberjaya, Malaysia",65,New
18,Civil Aviation Authority of Singapore,airlines/aviation,"Singapore, Singapore",82,New
19,PETRONAS,oil & energy,"Kuala Lumpur, Malaysia",76,New
20,MMC Oil and Gas Engineering,oil & energy,"Kuala Lumpur, Malaysia",66,New
21,Khatib & Alami,design,"Singapore, Singapore",65,New
22,Meta Oil & Gas,oil & energy,"Kuala Lumpur, Malaysia",76,New
23,China Aviation Oil (Singapore) Corporation Limited,oil & energy,"Singapore, Singapore",78,New
24,Puma Energy,oil & energy,"Singapore, Singapore",77,New
25,Weststar Aviation Group,airlines/aviation,"Kuala Lumpur, Malaysia",73,New
26,SME Aerospace Sdn Bhd,aviation & aerospace,"Subang, Malaysia",60,New
27,Systematic Aviation Services Group,aviation & aerospace,"Pelabuhan Klang, Malaysia",81,New
28,Rotary Engineering,information technology & services,"Singapore, Singapore",82,New
29,Getz Healthcare,medical devices,"Singapore, Singapore",97,New
30,Malaysia Marine & Heavy Engineering,oil & energy,"Kuala Lumpur, Malaysia",73,New
31,Trafigura,oil & energy,"Singapore, Singapore",87,New
32,Laminaar Aviation Infotech,airlines/aviation,"Singapore, Singapore",74,New
33,BOC Aviation,airlines/aviation,"Singapore, Singapore",61,New
34,Shopee,information technology & services,"Singapore, Singapore",62,New
35,International SOS,hospital & health care,"Singapore, Singapore",95,New
36,Malaysia Airports,airlines/aviation,"Sepang, Malaysia",92,New
37,Sapura Energy Berhad,oil & energy,"Kuala Lumpur, Malaysia",86,New
38,MHS Aviation Berhad,airlines/aviation,"Petaling Jaya, Malaysia",60,New
39,Galaxy Aerospace (M) Sdn. Bhd.,airlines/aviation,"Shah Alam, Malaysia",93,New
40,Dviation Group,airlines/aviation,"Shah Alam, Malaysia",71,New
41,Sunway Construction Group Berhad,construction,"Subang Jaya, Malaysia",81,New
42,Malaysia Airlines,airlines/aviation,"Sepang, Malaysia",63,New
43,PETRONAS Lubricants International,oil & energy,"Kuala Lumpur, Malaysia",90,New
44,G7 Aerospace Sdn Bhd,airlines/aviation,"Cyberjaya, Malaysia",68,New
45,SATS Ltd.,airlines/aviation,"Singapore, Singapore",72,New
46,Top Glove,medical devices,"Shah Alam, Malaysia",94,New
47,Airbus Asia Training Centre (AATC),airlines/aviation,"Singapore, Singapore",61,New
48,MODEC Offshore Production Systems (Singapore) / Offshore Frontier Solutions,oil & energy,"Singapore, Singapore",61,New
49,Lazada,information technology & services,"Singapore, Singapore",60,New
50,Synergy Engineering,oil & energy,"Kuala Lumpur, Malaysia",77,New
51,ST Logistics,logistics & supply chain,"Singapore, Singapore",68,New
52,Manpower Singapore,staffing & recruiting,"Singapore, Singapore",92,New
53,Oil and Gas Industry,oil & energy,"Singapore, Singapore",60,New
54,Destini Oil Services Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",71,New
55,Bumi Armada,oil & energy,"Kuala Lumpur, Malaysia",67,New
56,Malindo Air,airlines/aviation,"Petaling Jaya, Malaysia",60,New
57,JGC Construction International,construction,"Singapore, Singapore",69,New
58,Bruhat Logistics | Project Freight Forwarding,logistics & supply chain,"Singapore, Singapore",74,New
59,Zuellig Pharma,hospital & health care,"Singapore, Singapore",80,New
60,EP ENGINEERING SDN. BHD.,oil & energy,"Federal Territory, Malaysia",64,New
61,Avensys Consulting,information technology & services,"Singapore, Singapore",96,New
62,MISC Group,logistics & supply chain,"Kuala Lumpur, Malaysia",71,New
63,Wilmar International,food production,"Singapore, Singapore",73,New
64,HRD Corp - Human Resource Development Corporation,government administration,"Kuala Lumpur, Malaysia",96,New
65,Toyo Engineering & Construction Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",89,New
66,Wasco,oil & energy,"Kuala Lumpur, Malaysia",90,New
67,IBS Software,information technology & services,"Singapore, Singapore",95,New
68,SEPANG AIRCRAFT ENGINEERING,airlines/aviation,"Sepang, Malaysia",99,New
